price,date
178.96,2022-03-28 22:00:00
177.77,2022-03-29 22:00:00
174.61,2022-03-30 22:00:00
174.31,2022-03-31 22:00:00
178.44,2022-04-03 22:00:00
175.06,2022-04-04 22:00:00
171.83,2022-04-05 22:00:00
172.14,2022-04-06 22:00:00
170.09,2022-04-07 22:00:00
165.75,2022-04-10 22:00:00
167.66,2022-04-11 22:00:00
170.4,2022-04-12 22:00:00
165.29,2022-04-13 22:00:00
165.07,2022-04-17 22:00:00
167.4,2022-04-18 22:00:00
167.23,2022-04-19 22:00:00
166.42,2022-04-20 22:00:00
161.79,2022-04-21 22:00:00
162.88,2022-04-24 22:00:00
156.8,2022-04-25 22:00:00
156.57,2022-04-26 22:00:00
163.64,2022-04-27 22:00:00
157.65,2022-04-28 22:00:00
157.96,2022-05-01 22:00:00
159.48,2022-05-02 22:00:00
166.02,2022-05-03 22:00:00
156.77,2022-05-04 22:00:00
157.28,2022-05-05 22:00:00
152.06,2022-05-08 22:00:00
154.51,2022-05-09 22:00:00
146.5,2022-05-10 22:00:00
142.56,2022-05-11 22:00:00
147.11,2022-05-12 22:00:00
145.54,2022-05-15 22:00:00
149.24,2022-05-16 22:00:00
140.82,2022-05-17 22:00:00
137.35,2022-05-18 22:00:00
137.59,2022-05-19 22:00:00
143.11,2022-05-22 22:00:00
140.36,2022-05-23 22:00:00
140.52,2022-05-24 22:00:00
143.78,2022-05-25 22:00:00
149.64,2022-05-26 22:00:00
148.84,2022-05-30 22:00:00
148.71,2022-05-31 22:00:00
151.21,2022-06-01 22:00:00
145.38,2022-06-02 22:00:00
146.14,2022-06-05 22:00:00
148.71,2022-06-06 22:00:00
147.96,2022-06-07 22:00:00
142.64,2022-06-08 22:00:00
137.13,2022-06-09 22:00:00
131.88,2022-06-12 22:00:00
132.76,2022-06-13 22:00:00
135.43,2022-06-14 22:00:00
130.06,2022-06-15 22:00:00
131.56,2022-06-16 22:00:00
135.87,2022-06-20 22:00:00
135.35,2022-06-21 22:00:00
